id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
55,Stokes PLC,Realtor,1560.44,INR,17/05/2021,FALSE,30/03/2023
56,"Rowland, Johnson and Williams",Realtor,3493.97,INR,20/09/2023,TRUE,15/10/2021
57,"Pruitt, Jones and Wilson",Airbnb,3937.28,EUR,01/04/2024,FALSE,02/06/2021
58,Cook and Sons,Airbnb,4471.94,EUR,28/05/2023,TRUE,12/09/2020
59,Rivera PLC,Craigslist,3938.95,EUR,01/02/2020,FALSE,15/06/2024
60,Olson-Hodge,Realtor,2551.9,INR,06/03/2025,FALSE,06/07/2020
61,"Edwards, Lynch and Rivera",Apartments.com,2098.41,EUR,27/04/2024,FALSE,22/06/2020
62,Shaffer and Sons,Realtor,4632.02,USD,12/02/2025,FALSE,17/02/2020
63,"Moore, Mckee and Carey",Airbnb,4200.87,INR,03/04/2023,FALSE,29/11/2023
64,"Massey, Hendrix and Guerra",Realtor,1451.51,USD,26/07/2022,TRUE,13/10/2021
65,Miller-Collins,Airbnb,2929.6,EUR,16/02/2022,FALSE,23/06/2022
66,"Montgomery, Thompson and White",Realtor,3636.9,EUR,17/05/2021,FALSE,23/01/2021
67,Walker-Williams,Craigslist,4670.85,INR,23/09/2023,TRUE,29/08/2024
68,Fowler-Suarez,Realtor,3323.5,USD,11/01/2024,FALSE,05/02/2025
69,Howard and Sons,Zillow,1062.55,EUR,26/09/2023,TRUE,15/09/2021
70,Nolan-Coffey,Realtor,1376.68,USD,04/01/2024,FALSE,03/07/2021
71,Johnson-Goodwin,Airbnb,1615.81,INR,22/02/2020,TRUE,14/03/2023
72,"Raymond, Bennett and Burton",Apartments.com,4908.33,EUR,18/09/2024,FALSE,27/04/2022
73,"Lee, Edwards and Donaldson",Realtor,2214.51,EUR,24/01/2023,TRUE,15/08/2024
74,Salazar-Pierce,Realtor,2669.56,EUR,26/11/2020,TRUE,28/02/2025
75,Mccoy Group,Realtor,1567.68,INR,01/04/2022,FALSE,01/11/2023
76,Robinson-Perez,Apartments.com,3964.71,USD,18/12/2020,FALSE,06/01/2025
77,Blevins-Mahoney,Apartments.com,2713.68,USD,09/04/2020,FALSE,13/05/2022
78,Mcgee and Sons,Zillow,1023.05,EUR,18/10/2020,TRUE,11/09/2023
79,Young and Sons,Apartments.com,1299.11,INR,24/06/2020,FALSE,16/01/2024
80,"Meyer, Parks and Owens",Airbnb,4933.27,EUR,23/10/2021,TRUE,27/08/2020
81,Petersen-Rogers,Realtor,3877.95,INR,12/04/2023,FALSE,15/09/2022
82,Lane-Olson,Craigslist,4990.89,USD,25/08/2023,FALSE,22/12/2023
83,Nash LLC,Apartments.com,2440.41,USD,27/04/2021,FALSE,11/11/2022
84,"Madden, Carroll and Wright",Airbnb,4867.2,INR,25/02/2025,TRUE,13/07/2021
85,Stephens Inc,Apartments.com,2147.85,USD,04/01/2022,TRUE,02/07/2023
86,"Martin, Williams and Perkins",Airbnb,4469.77,USD,11/07/2022,FALSE,25/01/2022
87,"Martinez, Johnson and Reeves",Zillow,4299.73,INR,23/04/2024,TRUE,01/12/2024
88,Werner-Hicks,Airbnb,4425.18,INR,23/02/2025,FALSE,15/07/2021
89,"Jackson, Fox and Mills",Apartments.com,2635.93,USD,07/03/2021,FALSE,29/02/2020
90,Cardenas Ltd,Apartments.com,1807.88,EUR,12/12/2024,TRUE,27/06/2020
91,Martin-Turner,Craigslist,1497.48,EUR,18/06/2022,FALSE,23/04/2022
92,Jones-Jones,Craigslist,1641.45,EUR,09/07/2020,TRUE,26/04/2022
93,"Henry, Liu and Neal",Realtor,1684.72,INR,26/02/2022,TRUE,04/03/2025
94,"Green, Acosta and Chavez",Craigslist,3379.8,INR,06/03/2021,TRUE,06/10/2024
95,Novak LLC,Realtor,4651.17,EUR,10/10/2020,TRUE,30/07/2023
96,Shelton-Miranda,Airbnb,3682.93,INR,15/09/2023,FALSE,24/01/2025
97,Parrish-Serrano,Apartments.com,3152.88,INR,24/12/2022,TRUE,08/02/2021
98,Hill-Perry,Airbnb,2798.42,USD,16/05/2023,TRUE,03/02/2022
99,"Rollins, Snyder and Harrell",Craigslist,1717.04,USD,19/02/2023,FALSE,26/11/2024
100,"Long, Hawkins and Kennedy",Apartments.com,4423.6,USD,25/08/2023,FALSE,04/11/2023
101,Parker-Gibson,Craigslist,2279.74,EUR,06/02/2022,FALSE,13/02/2020
102,"Baker, Vega and Johnson",Zillow,2065.87,EUR,11/07/2024,TRUE,05/09/2020
103,"Taylor, Smith and Salazar",Realtor,2026.99,USD,19/05/2022,FALSE,29/10/2021
104,Griffin Inc,Realtor,2643.62,INR,04/03/2024,TRUE,15/09/2021
105,"Gibson, Campbell and Gilbert",Apartments.com,1136.14,INR,27/09/2022,FALSE,25/01/2021
106,"Edwards, Carlson and Lyons",Realtor,1491.74,EUR,25/03/2023,TRUE,30/07/2022
107,Scott-Lowery,Realtor,1319.49,USD,15/09/2021,FALSE,02/11/2020
108,Peck-Cooper,Zillow,4858.67,USD,05/02/2023,TRUE,28/09/2024
109,Dalton Inc,Realtor,4314.07,EUR,22/03/2020,TRUE,17/08/2023
110,Henry and Sons,Zillow,4670.45,EUR,10/08/2022,TRUE,07/02/2023
111,"Macdonald, Webb and Ellis",Apartments.com,4756.57,USD,29/05/2024,FALSE,15/12/2023
112,Walls-Melton,Realtor,3186.82,INR,28/06/2024,FALSE,06/08/2020
113,"Cooper, Patel and Medina",Craigslist,3957.09,USD,22/10/2021,FALSE,27/06/2021
114,Bender Ltd,Craigslist,4023.1,INR,10/04/2022,FALSE,16/04/2023
115,Adams-Jones,Airbnb,3114.29,USD,13/03/2022,TRUE,20/01/2023
116,Chavez PLC,Craigslist,2572.84,USD,07/11/2020,TRUE,20/08/2021
117,"King, Walter and Mckinney",Apartments.com,3628.88,EUR,28/10/2024,FALSE,17/12/2021
118,"Bauer, Watts and Ramirez",Realtor,3271.69,INR,04/01/2024,FALSE,03/05/2022
119,Carter-Mcdonald,Apartments.com,3686.01,EUR,04/12/2022,FALSE,13/09/2021
120,Brown-Logan,Zillow,1507.85,INR,04/01/2022,FALSE,31/01/2020
121,Thompson-Miller,Apartments.com,4859.52,USD,01/01/2025,FALSE,24/02/2023
122,Harvey-Garcia,Apartments.com,3124.39,USD,06/08/2020,TRUE,25/03/2020
123,Rice PLC,Apartments.com,1062.99,INR,07/08/2023,FALSE,08/07/2020
124,Wright-Davis,Craigslist,4901.52,EUR,23/02/2021,FALSE,12/08/2021
125,Yates-Frank,Zillow,2125.33,USD,08/02/2024,FALSE,15/02/2023
126,Duncan Group,Apartments.com,2408.58,INR,30/09/2021,TRUE,31/08/2021
127,Carroll Ltd,Craigslist,1785.44,EUR,11/12/2024,TRUE,09/07/2024
128,Schneider-Patterson,Zillow,2658.97,USD,12/04/2021,TRUE,24/06/2021
129,Ryan-Cox,Apartments.com,2681.36,INR,19/01/2024,FALSE,05/11/2023
130,Mcbride-Hernandez,Airbnb,1187.85,USD,08/02/2020,TRUE,14/01/2020
131,"Carter, Mitchell and Williams",Craigslist,4598.95,INR,29/07/2022,FALSE,21/01/2025
132,Keller-Guerra,Realtor,2511.48,EUR,09/12/2024,TRUE,03/07/2022
133,"Donaldson, Mcdowell and Roberts",Airbnb,4304.08,INR,01/04/2022,FALSE,09/02/2025
134,Stanley-Carter,Realtor,3059.4,EUR,05/07/2020,TRUE,15/12/2021
135,"Foster, Stewart and Carter",Realtor,2760.48,USD,31/03/2022,FALSE,26/07/2021
136,Reilly-Huynh,Zillow,2506.15,USD,21/04/2020,TRUE,09/05/2024
137,"Rowland, Davis and Smith",Craigslist,1569.2,INR,12/05/2024,FALSE,17/04/2021
138,Osborn-Mack,Realtor,4100.63,EUR,15/08/2021,FALSE,22/10/2024
139,Castillo-Peterson,Zillow,2624.77,EUR,03/08/2020,FALSE,14/06/2023
140,Smith-Phillips,Airbnb,1270.77,EUR,01/11/2020,TRUE,02/09/2024
141,Alvarez-Myers,Craigslist,2953.14,EUR,02/02/2022,TRUE,20/09/2023
142,Dyer-Arnold,Realtor,1337.72,INR,29/12/2023,FALSE,28/08/2021
143,Wood-Stanley,Airbnb,4595.04,EUR,19/02/2020,TRUE,08/11/2024
144,Carroll PLC,Realtor,3359.07,USD,06/08/2022,TRUE,23/08/2022
145,Stephenson LLC,Craigslist,2424.6,INR,15/05/2024,TRUE,11/02/2020
146,"Saunders, Lopez and Campbell",Craigslist,1805.31,USD,24/06/2024,FALSE,26/06/2022
147,Dalton-Ellis,Zillow,4525.51,INR,02/06/2022,TRUE,18/01/2022
148,Cook-Lawrence,Airbnb,1186.14,USD,22/11/2023,TRUE,23/08/2020
149,Peters-Adams,Zillow,2801.26,EUR,19/05/2021,FALSE,15/08/2023
150,"White, Guzman and Stewart",Airbnb,3360.16,INR,07/05/2024,TRUE,23/03/2021
151,"Armstrong, Adams and Johnson",Craigslist,3685.86,USD,27/01/2021,TRUE,29/09/2021
152,"Ayers, Bradshaw and Jackson",Craigslist,3464.28,EUR,26/07/2023,FALSE,30/03/2023
153,Allison-Taylor,Craigslist,1000.46,INR,05/08/2022,FALSE,31/07/2022
154,Greene-Garrett,Apartments.com,1737.92,INR,12/09/2023,TRUE,07/02/2024
155,Lyons PLC,Apartments.com,1961.13,USD,09/03/2023,TRUE,16/11/2020
156,"Baker, Nichols and Chan",Realtor,3860.47,EUR,28/02/2021,FALSE,16/10/2020
157,Price LLC,Airbnb,4486.8,EUR,27/02/2024,TRUE,04/10/2020
158,"Sanchez, Brooks and Cunningham",Apartments.com,3259.28,USD,28/05/2023,FALSE,24/08/2024
159,White LLC,Apartments.com,1834.3,USD,28/02/2022,TRUE,14/08/2024
160,Spence-Henderson,Zillow,1807.72,EUR,08/08/2020,FALSE,14/01/2022
161,"Melendez, Jones and Allen",Apartments.com,2170.07,INR,26/01/2025,FALSE,19/07/2020
162,"Carney, Weber and Bird",Zillow,2640.95,USD,17/05/2023,FALSE,04/02/2024
163,Conley-Gonzales,Craigslist,3079.59,INR,08/12/2021,TRUE,16/08/2024
164,Warner-Smith,Apartments.com,3495.11,USD,16/04/2021,FALSE,06/09/2021
165,Reyes and Sons,Zillow,1629.95,USD,30/09/2022,FALSE,11/10/2023
166,Kennedy Group,Apartments.com,3707.66,INR,21/02/2021,FALSE,10/01/2023
167,Pope Ltd,Airbnb,3473.25,INR,01/04/2024,TRUE,30/12/2022
168,Wright-Cook,Apartments.com,3187.46,USD,13/10/2023,FALSE,08/05/2020
169,Charles Group,Realtor,1330.27,USD,29/11/2024,TRUE,06/06/2021
170,Hurst-Calderon,Zillow,4224,USD,08/04/2023,TRUE,17/09/2022
171,Horn-Peterson,Craigslist,3755.72,EUR,03/02/2022,TRUE,16/11/2022
172,Crawford-Miller,Airbnb,3253.42,EUR,20/04/2020,TRUE,21/04/2024
173,Zavala-Sparks,Apartments.com,2010.6,USD,05/03/2022,FALSE,22/09/2024
174,"Ray, Cervantes and Sanchez",Airbnb,2453.17,INR,31/05/2024,TRUE,27/11/2021
175,Middleton and Sons,Realtor,2160.46,EUR,02/02/2020,FALSE,06/02/2024
176,"Roberson, Murray and George",Craigslist,4977.54,INR,15/03/2025,TRUE,26/12/2020
177,Jensen Group,Apartments.com,4737.56,EUR,14/10/2024,TRUE,28/05/2024
178,Perry-Mullen,Zillow,4725.33,INR,30/10/2020,TRUE,29/07/2020
179,Ray-Porter,Apartments.com,1888.96,USD,07/10/2022,FALSE,08/03/2025
180,Mcdaniel-Schmidt,Airbnb,2379.22,EUR,17/01/2021,TRUE,22/01/2022
181,"Willis, Gutierrez and Chapman",Airbnb,4996.28,USD,02/03/2024,FALSE,10/04/2021
182,Barnes LLC,Airbnb,2171.73,EUR,01/07/2023,TRUE,10/03/2025
183,Hawkins Inc,Craigslist,4450.63,USD,05/07/2021,FALSE,07/04/2023
184,Gomez and Sons,Zillow,2185.11,USD,23/01/2023,TRUE,20/03/2025
185,"Brown, Rojas and Armstrong",Apartments.com,3723.88,EUR,10/06/2022,FALSE,20/09/2020
186,Schwartz-Gilbert,Zillow,1080.65,USD,02/04/2023,TRUE,15/07/2021
187,Rich Ltd,Airbnb,2420.21,INR,18/05/2023,FALSE,05/04/2020
188,Meyer-Martinez,Zillow,4907.06,INR,25/07/2022,FALSE,03/02/2020
189,"Whitehead, Mcneil and Harris",Realtor,4368.12,INR,04/02/2020,FALSE,07/02/2021
190,Nelson-Jones,Apartments.com,1523.34,INR,04/07/2024,FALSE,07/10/2021
191,Munoz-Smith,Craigslist,1016.24,EUR,01/08/2021,TRUE,28/11/2020
192,"Dillon, Miller and Haynes",Realtor,4228.04,EUR,20/01/2022,TRUE,05/04/2023
193,"Johnson, Robinson and Wood",Realtor,4518.68,USD,25/12/2021,FALSE,31/01/2025
194,Harrington PLC,Craigslist,3833.62,USD,12/12/2022,TRUE,18/10/2023
195,Galloway-Daugherty,Airbnb,2769.18,USD,02/03/2024,FALSE,04/06/2022
196,Williams-Davidson,Zillow,2259.96,USD,16/11/2020,TRUE,24/04/2023
197,Hammond Group,Airbnb,1103.94,EUR,20/06/2020,TRUE,19/07/2020
198,"Drake, Walsh and Palmer",Airbnb,2630.71,EUR,02/02/2021,TRUE,19/09/2023
199,Jones-Morrison,Airbnb,2591.57,USD,06/09/2024,FALSE,06/07/2020
200,"Nixon, Diaz and Erickson",Craigslist,1352.46,USD,13/10/2024,FALSE,19/07/2021
201,Powell and Sons,Zillow,2626.41,USD,12/10/2020,TRUE,04/01/2025
202,Padilla-Carter,Zillow,1647.82,INR,20/04/2024,FALSE,31/12/2022
203,Russell-Schmidt,Craigslist,2522.3,EUR,14/09/2024,FALSE,04/04/2023
204,"Martinez, Santos and Vasquez",Airbnb,2596.41,USD,16/12/2021,TRUE,19/03/2024
205,"White, Barker and Luna",Craigslist,3554.75,EUR,18/08/2021,FALSE,21/03/2023
206,Miller-Key,Apartments.com,4836.68,INR,31/07/2023,TRUE,19/01/2024
207,Wood Ltd,Airbnb,2263.31,INR,08/08/2023,FALSE,23/02/2022
208,"Boyd, Stewart and Hernandez",Realtor,2863.01,EUR,21/11/2024,FALSE,07/11/2023
209,"Cooper, Johnson and Pierce",Apartments.com,3226.74,USD,16/12/2023,TRUE,01/12/2024
210,Silva LLC,Airbnb,2189.1,INR,23/08/2023,TRUE,17/08/2024
211,Thomas Ltd,Apartments.com,2815.58,USD,23/11/2022,TRUE,03/12/2021
212,"Park, Hunter and Webb",Realtor,1838.36,EUR,24/10/2021,FALSE,11/09/2022
213,Cox PLC,Craigslist,1934.4,INR,17/01/2024,TRUE,25/08/2023
214,Dillon PLC,Airbnb,4343.8,INR,27/08/2022,FALSE,29/01/2023
215,Guerra and Sons,Realtor,4682.47,USD,04/06/2024,TRUE,19/04/2022
216,Woods-Burton,Apartments.com,1255.11,USD,02/12/2023,FALSE,09/03/2020
217,Austin-Vasquez,Apartments.com,4073.55,USD,17/04/2020,TRUE,27/06/2022
218,"Townsend, Baker and Lawrence",Apartments.com,3306.5,INR,24/12/2022,TRUE,19/11/2021
219,Miranda PLC,Airbnb,2570.04,USD,22/06/2020,FALSE,10/09/2024
220,Lawson-Ramirez,Apartments.com,3952.85,INR,14/05/2023,TRUE,06/06/2021
221,Hunter-Morse,Airbnb,3480.36,EUR,15/08/2020,FALSE,27/02/2022
222,Jones Inc,Realtor,4677.25,EUR,23/02/2025,FALSE,26/06/2024
223,"Lowery, Humphrey and Grimes",Zillow,3741.46,USD,13/08/2021,TRUE,08/02/2021
224,"Brown, Martin and Lewis",Apartments.com,3521.31,EUR,27/01/2021,TRUE,17/07/2024
225,Cervantes PLC,Zillow,1407.05,INR,11/02/2020,TRUE,27/08/2021
226,"Davis, George and Johnston",Airbnb,3639.62,EUR,20/08/2021,TRUE,22/04/2023
227,Sanders LLC,Zillow,2993.6,INR,28/06/2022,FALSE,27/04/2024
228,"Sparks, Meyer and Coleman",Craigslist,2672.33,INR,20/05/2021,TRUE,02/12/2023
229,Castillo-Gentry,Craigslist,3873.85,INR,15/07/2020,FALSE,15/01/2020
230,Stephens-Adams,Realtor,4150.79,USD,04/07/2020,FALSE,28/12/2020
231,"Hernandez, Lowery and Oneill",Zillow,4554.82,USD,26/07/2023,FALSE,30/04/2024
232,"Mccarty, Douglas and Velazquez",Craigslist,2299.28,INR,10/12/2021,TRUE,29/10/2024
233,Burke PLC,Realtor,2647.6,EUR,20/02/2021,TRUE,22/10/2023
234,"Gallegos, Robbins and Case",Craigslist,3100.3,INR,14/12/2024,FALSE,26/01/2024
235,"Stevens, Walker and Burch",Realtor,2492.02,EUR,25/12/2021,FALSE,24/05/2020
236,Craig Ltd,Apartments.com,3531.82,USD,12/11/2020,FALSE,13/01/2020
237,Harrington-Carter,Airbnb,1605.96,USD,27/02/2020,TRUE,29/04/2020
238,"Mueller, Perez and Burgess",Airbnb,1439.27,USD,24/06/2023,TRUE,25/03/2021
239,Gonzales LLC,Realtor,2153.8,EUR,04/12/2023,TRUE,07/08/2022
240,"Pierce, Everett and Schmitt",Airbnb,4617.93,EUR,03/06/2021,TRUE,13/06/2023
241,"Mason, Collins and Johnson",Apartments.com,2898.88,INR,12/05/2023,FALSE,20/12/2021
242,Nicholson-Brown,Airbnb,2024.09,USD,11/01/2022,TRUE,24/09/2022
243,Long-Morales,Airbnb,1066.75,USD,30/09/2024,FALSE,23/04/2024
244,Adams Group,Zillow,3248.94,INR,24/02/2021,FALSE,25/03/2023
245,"Phelps, Rice and Walters",Apartments.com,3830.01,USD,29/05/2020,FALSE,27/07/2021
246,Mcfarland-Thompson,Apartments.com,1593.65,USD,26/10/2022,FALSE,24/01/2022
247,"Cain, Holmes and Whitehead",Airbnb,2193.11,USD,10/02/2021,FALSE,20/05/2022
248,"Herrera, Koch and Jordan",Airbnb,1728.69,USD,01/09/2024,FALSE,31/01/2023
249,Frank Group,Zillow,1874.18,EUR,15/12/2022,FALSE,25/10/2022
250,Santana-Lin,Realtor,1180.57,EUR,24/06/2024,FALSE,10/04/2022
251,Bush-Coleman,Craigslist,3285.74,INR,01/12/2021,TRUE,10/12/2024
252,Parker-Harris,Craigslist,4765.4,EUR,23/01/2024,FALSE,06/01/2023
253,Wright Group,Apartments.com,2396.59,EUR,01/09/2024,FALSE,12/06/2020
254,Hampton-Marquez,Zillow,1268.09,USD,25/11/2021,TRUE,23/12/2022
255,Sims-Williams,Realtor,4863.52,INR,22/08/2022,FALSE,14/07/2020
256,"Wright, Miller and Young",Airbnb,4297.73,INR,19/03/2023,FALSE,06/08/2024
257,Holland Group,Craigslist,2293.81,EUR,22/02/2023,TRUE,28/03/2020
258,Rich and Sons,Craigslist,3667.6,INR,06/12/2022,TRUE,31/08/2021
259,"Sandoval, Williams and Murphy",Realtor,3736.92,EUR,20/02/2020,FALSE,02/10/2020
260,"Anderson, Cooper and Robinson",Airbnb,1229.86,EUR,22/12/2024,FALSE,12/03/2024
261,Eaton Ltd,Zillow,3332.43,EUR,12/07/2023,TRUE,19/01/2021
262,"Anderson, Nguyen and Wagner",Zillow,3450.36,EUR,26/10/2023,TRUE,07/05/2022
263,Davenport-Tran,Apartments.com,1278.39,USD,04/06/2022,FALSE,20/08/2023
264,Haas-Alexander,Craigslist,3120.48,EUR,07/01/2024,FALSE,19/03/2025
265,Snyder Inc,Apartments.com,2444.09,USD,17/04/2023,FALSE,01/07/2020
266,"Jacobson, Smith and Sutton",Craigslist,3545.66,USD,09/05/2020,TRUE,10/04/2024
267,Thomas-Miller,Airbnb,4638.65,EUR,27/04/2024,FALSE,14/03/2023
268,"Henry, Frye and Schmidt",Realtor,1200.43,INR,12/07/2024,TRUE,01/03/2024
269,Smith-Allen,Airbnb,4242.79,INR,14/06/2020,TRUE,02/01/2023
270,Gillespie-Mcknight,Zillow,4231.43,EUR,15/06/2022,FALSE,20/04/2022
271,Williams Inc,Zillow,1579.45,INR,15/02/2022,FALSE,25/04/2020
272,Sanchez-Kerr,Airbnb,1164.67,EUR,11/02/2025,TRUE,27/09/2021
273,"Bruce, Ford and Owens",Zillow,1124.67,USD,21/06/2022,FALSE,20/08/2022
274,Harris-Jenkins,Craigslist,2840.21,INR,08/02/2023,TRUE,22/02/2020
275,Moore Ltd,Zillow,3163.25,USD,25/11/2023,TRUE,31/08/2023
276,Gordon Inc,Zillow,2267.37,USD,24/04/2020,TRUE,09/02/2022
277,"Richmond, Kelly and Williams",Craigslist,2400.29,USD,12/04/2022,FALSE,28/06/2021
278,Gomez-Ferguson,Craigslist,2735.4,INR,27/06/2022,FALSE,30/05/2022
279,"Solomon, Allen and May",Craigslist,3638.68,EUR,12/01/2025,TRUE,22/08/2021
280,"Kirk, Smith and Carlson",Apartments.com,3580.72,USD,16/02/2023,TRUE,13/12/2022
281,"Strong, Brown and Murray",Craigslist,2993.39,EUR,12/07/2024,FALSE,13/11/2024
282,Miranda and Sons,Realtor,3438.07,EUR,23/01/2020,TRUE,30/12/2023
283,Walker-Esparza,Zillow,2960.07,INR,01/06/2023,TRUE,21/04/2023
284,Nelson-Wong,Airbnb,3908.46,EUR,25/01/2021,TRUE,01/02/2020
285,Lopez PLC,Realtor,4682.14,USD,15/08/2020,FALSE,17/02/2025
286,Davis-Norris,Apartments.com,3446.1,INR,25/05/2021,FALSE,01/03/2021
287,"Bowman, Walters and Mcgee",Zillow,1229.09,USD,25/05/2024,FALSE,23/02/2023
288,"Edwards, Brown and Perez",Realtor,1678.32,EUR,08/10/2021,FALSE,23/04/2024
289,Miller-Hale,Craigslist,3361.75,INR,04/11/2020,FALSE,15/11/2022
290,Tran-Wagner,Realtor,1237.22,INR,27/05/2024,FALSE,20/11/2022
291,Long-Rodriguez,Zillow,1225.91,USD,16/01/2020,TRUE,13/03/2023
292,Rodriguez-Craig,Zillow,2166.16,USD,09/08/2023,TRUE,01/10/2024
293,Stewart PLC,Realtor,1729.88,INR,29/03/2020,FALSE,22/10/2022
294,Ibarra Ltd,Airbnb,4540.11,INR,08/08/2021,FALSE,08/07/2022
295,Duffy PLC,Craigslist,4613.92,EUR,14/01/2021,FALSE,18/09/2021
296,"Olson, Villegas and Warner",Craigslist,1963.13,INR,02/10/2024,TRUE,03/05/2023
297,Mccormick-Newman,Realtor,4358.24,INR,17/06/2024,TRUE,26/10/2023
298,Coleman Inc,Zillow,3864.94,USD,26/05/2022,TRUE,06/10/2023
299,"Lee, Jordan and Osborn",Zillow,3194.79,EUR,05/01/2023,FALSE,15/03/2022
300,"Smith, Morales and Rodriguez",Zillow,4121.22,USD,05/07/2024,TRUE,17/10/2022
301,Blair Group,Craigslist,2674.67,USD,02/04/2024,FALSE,10/05/2021
302,"Cole, Quinn and Thomas",Apartments.com,2071.96,EUR,02/03/2020,FALSE,05/05/2023
